median_spend,lat,long,accessibility_to_cities_2015,chirps_2015,chirps_average_2002_2015,distance_to_ports_2012,distance_to_powerplants_2016,distance_to_roads_2015,distance_to_transmission_lines_2016,landscan_population_2017,modis_evi_2000_2016,modis_lst_day_average_2015,modis_lst_night_average_2015,modis_ndvi_2000_2016,sedac_gpw_2015,srtm_2000,viirs_nightlights_2015
68483.33333,6.234256879,6.497140028,1.228035927,4.112925529,1918.483032,6.111320496,0.528430343,1287.481201,0.025042674,1.1441046,4642.536621,27.85885429,20.20289612,5933.850586,211.7980347,251.2078857,1.76e-11
576432.0,5.46540909,7.569493838,0.899999976,5.369959831,2322.145264,3.400000095,0.425436378,280.803894,0.0427352,1027.555542,4314.119141,28.68614388,20.59900284,5630.924805,663.4654541,119.7433395,0.261675656
179028.8889,5.633260509,5.890409206,3.200000048,5.355126858,2561.145508,14.5,0.081578411,368.5799866,0.032427162,2410.116943,3751.576172,28.65500832,20.4859333,5060.73877,381.6542664,14.50529575,1.052445173
204486.6667,6.116370202,6.906872771,0.200000003,4.547003269,1953.459595,6.099999905,0.522608817,198.3826294,0.031680245,2771.898193,3663.174561,28.98779297,20.61236954,5077.917969,6125.996094,212.727005,0.381240278
84011.25,5.289804492,7.578037279,1.876712799,5.507172108,2380.702148,4.064011097,0.310401469,306.397583,0.034884382,429.9299622,4065.373291,27.55925751,20.11727524,5374.149902,829.2456665,75.76572418,0.0
498230.0,6.320697892,5.618520229,0.197641432,4.44354105,1991.27771,8.092925072,0.113694564,14.21988201,0.0,6051.994141,2743.880615,33.77223206,21.92875671,3710.738525,816.0836792,84.26538849,12.72098732
234422.0,7.713236783,5.499593255,5.408707619,3.972020864,1565.49292,17.04220009,1.2336885930000001,140.2933502,0.289948702,2203.998779,4212.855469,28.96405411,18.27627754,5844.230469,216.2436676,440.7833862,0.0
187050.0,6.586205443,3.228525516,0.699999988,3.427794456,1497.316528,6.131101608,0.293221027,277.9856262,0.000108512,10427.89844,3009.93335,31.72977829,21.3085041,3923.922363,11553.61035,28.16172409,8.45212841
184816.0,7.888191737,5.099960987,1.299999952,3.620221138,1480.683716,13.60000038,1.198910594,287.7156982,0.244790375,1328.887573,3965.978271,30.14295197,18.37714577,5654.02832,777.9725342,570.668396,0.131112471
313286.6667,4.924385738,6.951008033,0.993231773,5.204249382,2446.952148,2.359390736,0.325648963,418.8076477,0.019266112,965.8005371,4314.586914,28.78949738,20.37831116,5506.845703,365.8341675,22.55341911,0.793899298
529274.0,6.446640055,7.484731252,0.100000001,4.361879349,1802.527832,6.300000191,1.166270018,3.734137058,0.0,7693.045898,2684.257324,33.06900787,21.5633316,3786.284424,1923.622192,219.9200439,17.97743607
1092064.0,6.490397299,3.320612581,0.499875396,3.378261328,1512.094604,2.621380329,0.300627083,20.33801842,0.0,17116.52344,2233.435303,33.33820724,22.45991516,3057.133301,22373.75391,3.733541965,12.45565414
114844.0,9.138373163,7.214868285,0.300000012,3.457859039,1316.45874,15.39999962,0.924760044,712.1067505,0.000346665,1961.875488,3330.403809,33.71690369,19.68427467,4579.26709,618.4571533,447.3816223,0.259634405
85966.66667,10.30635037,11.05280175,0.899999976,2.4780135149999998,930.4380493,23.20000076,4.217261314,1383.851685,0.013149477,4.143810272,2528.096436,37.80291748,17.31966972,3628.626465,153.9680176,623.5089722,0.003961082
245001.6667,8.964249849,11.37476672,1.299999952,2.926707029,1198.396606,13.19999981,4.641351223,610.2145386,0.031936649,738.1503906,2524.412598,37.7438736,19.59876823,3365.474121,932.4196167,243.2075043,1.550150633
96029.23077,10.38086043,11.1014243,0.700298488,2.445223093,912.901123,23.40029716,4.276283264,235.7647247,0.043741524,879.8577271,2259.103516,39.37552261,17.77082825,3233.967773,156.2260742,492.0091248,0.547323406
209505.0,4.811318855,7.010907118,0.622044683,4.861076832,2285.332275,2.116533279,0.261453718,22.75057793,0.000629202,15044.76367,1907.215942,35.31168365,22.2907753,2366.586914,2989.153076,8.865424156,17.70838165
319603.3333,5.446240506,7.011221314,0.432382733,5.70883894,2373.698242,3.036700487,0.303123534,199.0602112,0.003765194,1383.083496,3966.359863,31.99780846,20.35050011,5137.736816,663.4203491,71.38747406,1.243265152
256666.6667,5.484046443,6.933967939,1.899999976,5.980576038,2439.127686,4.699999809,0.222297788,181.028244,0.006900164,281.2441101,4302.298828,30.05783463,19.7636776,5667.121094,431.372406,64.24048615,0.069962516
75600.0,11.45119466,9.58978261,2.377762318,1.9879421,781.057312,24.17776108,3.109493017,2833.398682,0.016528953,71.7460022,2170.582764,39.04752731,16.56002045,3040.630127,275.7872314,418.6531067,0.0
